1732846021, 0x00000100,  0x00000001,Power on!
1732846021, 0x00000700,  0x00000001,Update 1/11: EthIPScanner: Start updating.
1732846021, 0x00000700,  0x00000001,Update 2/11: EthIPScanner: cancel thread done
1732846021, 0x00000700,  0x00000001,Update 3/11: EthIPScanner: clear error done
1732846021, 0x00000700,  0x00000001,Update 4/11: EthIPScanner: update iotagslist done
1732846021, 0x00000700,  0x00000001,Update 5/11: EthIPScanner: update class3tagslist done
1732846021, 0x00000700,  0x00000001,Update 6/11: EthIPScanner: update ucmmtagslist done
1732846021, 0x00000700,  0x00000001,Update 7/11: EthIPScanner: update udtlist done
1732846021, 0x00000700,  0x00000001,Update 8/11: EthIPScanner: update class3udt done
1732846021, 0x00000700,  0x00000001,Update 9/11: EthIPScanner: update ucmmudt done
1732846021, 0x00000700,  0x00000001,Update 10/11: EthIPScanner: update protocol_flag done
1732846021, 0x00000700,  0x00000001,Update 11/11: EthIPScanner: End updating.
1732846021, 0x00000700,  0x00000001,Update 1/10: EthIPAdapter: Start updating.
1732846021, 0x00000700,  0x00000001,Update 2/10: EthIPAdapter: cancel thread done
1732846021, 0x00000700,  0x00000001,Update 3/10: EthIPAdapter: clear error done
1732846021, 0x00000700,  0x00000001,Update 4/10: EthIPAdapter: update iotagslist
1732846021, 0x00000700,  0x00000001,Update 5/10: EthIPAdapter: update explicitlist done
1732846021, 0x00000700,  0x00000001,Update 6/10: EthIPAdapter: update siotags done
1732846021, 0x00000700,  0x00000001,Update 7/10: EthIPAdapter: update udtlist done
1732846021, 0x00000700,  0x00000001,Update 8/10: EthIPAdapter: update explicit_udt done
1732846021, 0x00000700,  0x00000001,Update 9/10: EthIPAdapter: update scanningtag done
1732846021, 0x00000700,  0x00000001,Update 10/10: EthIPAdapter: update protocol_flag done
1732846021, 0x00000700,  0x00000001,Update 11/10: EthIPAdapter: End updating.
1732846023, 0x00000100,  0x00000001,Download project\project.hcpp start.
1732846023, 0x00000100,  0x00000001,Download project\project.hcpp finished.
1732846024, 0x00000100,  0x00000001,Download userprog.foid start.
1732846024, 0x00000100,  0x00000001,Download userprog.foid finished.
1732846024, 0x00000100,  0x00000001,Download stprog.o start.
1732846024, 0x00000100,  0x00000001,Download stprog.o finished.
1732846024, 0x00000100,  0x00000001,Download stuserprog.o start.
1732846024, 0x00000100,  0x00000001,Download stuserprog.o finished.
1732846024, 0x00000100,  0x00000001,Download symbol.sym start.
1732846024, 0x00000100,  0x00000001,Download symbol.sym finished.
1732846024, 0x00000100,  0x00000001,Download varsinfo.foid start.
1732846024, 0x00000100,  0x00000001,Download varsinfo.foid finished.
1732846024, 0x00000100,  0x00000001,Download syscfg.foid start.
1732846024, 0x00000100,  0x00000001,Download syscfg.foid finished.
1732846024, 0x00000100,  0x00000001,Download ethercat.foid start.
